extrap,direction,behavioral,dir_heading_vs_gap,dir_overall_vs_overall,beh_median_velocity,beh_pause_fraction,beh_mean_turning_angle,beh_mean_angular_velocity,beh_mean_acceleration,beh_n_large_displacements,beh_tortuosity,obj2,obj3,obj4,obj6
0.0,0.6,0.4,0,1,0,0,0,1,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,0,0,1,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,0,0,1,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,0,0,1,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,0,0,1,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,0,0,1,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,0,1,0,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,0,1,0,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,0,1,0,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,0,1,0,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,0,1,0,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,0,1,0,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,0,1,0,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,0,1,0,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,0,1,1,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,0,1,1,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,0,1,1,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,0,1,1,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,0,1,1,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,0,1,1,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,0,1,1,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,0,1,1,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,0,0,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,0,0,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,0,0,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,0,0,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,0,0,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,0,0,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,0,0,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,0,0,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,0,1,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,0,1,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,0,1,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,0,1,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,0,1,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,0,1,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,0,1,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,0,1,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,1,0,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,1,0,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,1,0,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,1,0,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,1,0,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,1,0,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,1,0,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,1,0,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,1,1,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,1,1,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,1,1,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,1,1,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,1,1,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,1,1,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,1,1,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,0,1,1,1,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,0,0,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,0,0,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,0,0,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,0,0,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,0,0,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,0,0,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,0,0,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,0,0,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,0,1,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,0,1,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,0,1,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,0,1,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,0,1,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,0,1,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,0,1,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,0,1,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,1,0,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,1,0,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,1,0,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,1,0,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,1,0,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,1,0,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,1,0,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,1,0,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,1,1,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,1,1,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,1,1,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,1,1,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,1,1,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,1,1,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,1,1,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,0,1,1,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,0,0,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,0,0,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,0,0,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,0,0,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,0,0,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,0,0,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,0,0,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,0,0,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,0,1,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,0,1,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,0,1,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,0,1,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,0,1,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,0,1,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,0,1,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,0,1,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,1,0,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,1,0,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,1,0,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,1,0,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,1,0,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,1,0,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,1,0,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,1,0,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,1,1,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,1,1,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,1,1,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,1,1,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,1,1,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,1,1,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,1,1,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,0,1,1,1,1,1,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,0,0,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,0,0,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,0,0,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,0,0,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,0,0,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,0,0,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,0,0,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,0,1,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,0,1,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,0,1,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,0,1,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,0,1,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,0,1,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,0,1,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,0,1,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,1,0,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,1,0,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,1,0,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,1,0,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,1,0,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,1,0,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,1,0,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,1,0,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,1,1,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,1,1,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,1,1,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,1,1,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,1,1,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,1,1,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,1,1,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,0,1,1,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,0,0,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,0,0,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,0,0,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,0,0,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,0,0,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,0,0,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,0,0,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,0,0,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,0,1,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,0,1,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,0,1,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,0,1,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,0,1,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,0,1,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,0,1,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,0,1,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,1,0,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,1,0,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,1,0,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,1,0,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,1,0,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,1,0,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,1,0,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,1,0,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,1,1,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,1,1,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,1,1,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,1,1,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,1,1,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,1,1,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,1,1,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,0,1,1,1,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,0,0,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,0,0,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,0,0,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,0,0,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,0,0,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,0,0,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,0,0,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,0,0,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,0,1,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,0,1,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,0,1,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,0,1,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,0,1,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,0,1,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,0,1,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,0,1,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,1,0,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,1,0,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,1,0,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,1,0,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,1,0,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,1,0,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,1,0,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,1,0,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,1,1,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,1,1,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,1,1,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,1,1,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,1,1,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,1,1,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,1,1,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,0,1,1,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,0,0,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,0,0,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,0,0,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,0,0,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,0,0,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,0,0,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,0,0,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,0,0,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,0,1,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,0,1,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,0,1,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,0,1,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,0,1,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,0,1,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,0,1,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,0,1,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,1,0,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,1,0,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,1,0,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,1,0,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,1,0,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,1,0,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,1,0,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,1,0,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,1,1,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,1,1,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,1,1,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,1,1,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,1,1,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,1,1,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,1,1,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,0,1,1,1,1,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,1,0,0,0,0,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,1,0,0,0,0,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,1,0,0,0,0,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,1,0,0,0,0,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,1,0,0,0,0,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,1,0,0,0,0,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,1,0,0,0,0,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,1,0,0,0,1,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,1,0,0,0,1,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,1,0,0,0,1,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,1,0,0,0,1,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,1,0,0,0,1,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,1,0,0,0,1,1,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,1,0,0,0,1,1,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,1,0,0,0,1,1,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,1,0,0,1,0,0,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,1,0,0,1,0,0,0,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,1,0,0,1,0,0,1,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,1,0,0,1,0,0,1,1,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,1,0,0,1,0,1,0,0,6.0,131.97916666666666,1,9.895329204308766
0.0,0.6,0.4,1,1,0,0,1,0,1,0,1,6.0,131.97916666666666,1,9.895329204308766
